VendaID,Data,ClienteID,ProdutoID,Canal,Forma_Pagamento,Status,Quantidade,Preco_Unit,Desconto_Perc,Receita_Bruta,Receita_Liquida,Custo_Total,Lucro,Cidade,UF,Segmento_Cliente
V048244,2024-05-28,C000434,P000423,Loja Física,Crédito,Entregue,2,10.95,0.203,21.9,17.45,13.66,3.79,Curitiba,PR,Varejo
V033982,2024-04-05,C000611,P000503,Marketplace,Crédito,Entregue,3,20.38,0.35,61.14,39.74,36.75,2.99,Camaçari,BA,Varejo
V031261,2025-03-16,C000019,P000237,Loja Física,Pix,Entregue,1,11.88,0.35,11.88,7.72,7.06,0.66,Taguatinga,DF,Varejo
V012293,2025-06-30,C001008,P000327,Online,Débito,Entregue,4,55.6,0.097,222.4,200.83,131.56,69.27,Curitiba,PR,Varejo
V042287,2024-05-06,C000437,P000601,Loja Física,Crédito,Entregue,4,8.64,0.063,34.56,32.38,24.88,7.5,Uberlândia,MG,Varejo
V013665,2024-10-23,C000075,P001164,Online,Pix,Entregue,2,8.62,0.111,17.24,15.33,11.7,3.63,Juazeiro do Norte,CE,Varejo
V012951,2024-05-14,C001368,P000629,Online,Crédito,Entregue,1,10.42,0.097,10.42,9.41,7.01,2.4,Olinda,PE,Atacado
V031757,2025-04-25,C001344,P000888,Online,Débito,Entregue,2,11.53,0.032,23.06,22.32,13.92,8.4,Salvador,BA,Atacado
V014514,2025-05-20,C001022,P000622,Loja Física,Crédito,Entregue,3,9.89,0.081,29.67,27.27,17.25,10.02,Londrina,PR,Premium
V020458,2024-09-18,C000333,P000065,Online,Crédito,Entregue,2,7.37,0.09,14.74,13.41,10.38,3.03,Niterói,RJ,Premium
V041547,2024-04-01,C000221,P001148,Loja Física,Boleto,Entregue,1,16.15,0.169,16.15,13.42,10.98,2.44,Joinville,SC,Varejo
V000851,2025-01-16,C000916,P000861,Online,Pix,Entregue,6,8.29,0.166,49.74,41.48,35.64,5.84,Gama,DF,Varejo
V034768,2024-03-01,C000929,P000069,Online,Crédito,Entregue,2,8.83,0.264,17.66,13.0,11.5,1.5,Gama,DF,Premium
V024913,2024-07-26,C000289,P000402,Loja Física,Débito,Cancelado,1,12.37,0.271,12.37,9.02,9.35,-0.33,Salvador,BA,Corporate
V017970,2024-12-08,C000352,P000207,Loja Física,Pix,Entregue,2,26.25,0.11,52.5,46.72,32.66,14.06,São Paulo,SP,Varejo
V028377,2024-04-29,C001205,P000932,Loja Física,Crédito,Entregue,5,27.2,0.209,136.0,107.58,79.4,28.18,Rio de Janeiro,RJ,Varejo
V009890,2025-02-01,C001416,P000061,Loja Física,Crédito,Entregue,4,10.88,0.085,43.52,39.82,31.52,8.3,Sorocaba,SP,Varejo
V046456,2024-08-01,C000920,P000136,Loja Física,Crédito,Entregue,5,18.86,0.055,94.3,89.11,55.6,33.51,Fortaleza,CE,Varejo
V038500,2024-11-29,C001440,P000456,Online,Pix,Entregue,3,13.52,0.131,40.56,35.25,26.79,8.46,Niterói,RJ,Varejo
V016248,2025-06-29,C000925,P000409,Loja Física,Crédito,Entregue,4,9.49,0.223,37.96,29.49,26.24,3.25,Campos dos Goytacazes,RJ,Atacado
V008787,2024-03-04,C001412,P000636,Online,Crédito,Entregue,4,9.13,0.095,36.52,33.05,21.68,11.37,Taguatinga,DF,Varejo
V035430,2025-07-31,C001142,P000317,Online,Crédito,Entregue,4,9.1,0.106,36.4,32.54,23.92,8.62,São Paulo,SP,Premium
V019104,2024-12-10,C000367,P000413,Online,Crédito,Entregue,2,15.07,0.193,30.14,24.32,18.22,6.1,Contagem,MG,Varejo
V044143,2024-05-17,C000035,P000233,Marketplace,Pix,Entregue,4,10.17,0.197,40.68,32.67,23.72,8.95,Santa Maria,RS,Atacado
V014787,2025-01-14,C000263,P000352,Loja Física,Pix,Entregue,4,37.23,0.207,148.92,118.09,91.56,26.53,Jaboatão dos Guararapes,PE,Varejo
V018217,2025-06-29,C000003,P000997,Online,Crédito,Entregue,2,20.51,0.06,41.02,38.56,26.52,12.04,Chapecó,SC,Varejo
V029737,2024-12-27,C000691,P000165,Online,Crédito,Entregue,4,12.37,0.185,49.48,40.33,28.04,12.29,Contagem,MG,Varejo
V018195,2024-11-12,C000142,P000142,Online,Pix,Entregue,4,18.32,0.321,73.28,49.76,53.0,-3.24,Sorocaba,SP,Atacado
V042356,2024-04-05,C001379,P001147,Online,Crédito,Entregue,3,5.87,0.086,17.61,16.1,11.16,4.94,Salvador,BA,Varejo
V020186,2024-08-24,C000423,P000614,Loja Física,Débito,Entregue,5,18.65,0.108,93.25,83.18,59.95,23.23,Maracanaú,CE,Corporate
V038611,2025-05-04,C001054,P000352,Marketplace,Pix,Entregue,4,38.73,0.202,154.92,123.63,91.56,32.07,Santa Maria,RS,Corporate
V022656,2025-05-05,C001500,P000609,Online,Crédito,Entregue,2,10.57,0.098,21.14,19.07,12.96,6.11,Santos,SP,Varejo
V031786,2025-01-20,C000426,P000805,Online,Crédito,Entregue,3,10.57,0.243,31.71,24.0,22.08,1.92,Juazeiro do Norte,CE,Varejo
V036667,2025-04-05,C000686,P000012,Televendas,Crédito,Entregue,2,26.31,0.134,52.62,45.57,30.18,15.39,Brasília,DF,Varejo
V044905,2025-03-13,C001137,P000056,Loja Física,Pix,Entregue,4,5.37,0.126,21.48,18.77,16.48,2.29,Rio de Janeiro,RJ,Varejo
V006080,2024-10-20,C000606,P000244,Online,Pix,Entregue,3,38.21,0.35,114.63,74.51,61.74,12.77,Ribeirão Preto,SP,Varejo
V015556,2025-05-08,C000080,P000020,Online,Crédito,Entregue,1,12.63,0.16,12.63,10.61,8.5,2.11,Contagem,MG,Varejo
V048062,2024-02-07,C000254,P000385,Online,Pix,Entregue,2,10.95,0.153,21.9,18.55,14.26,4.29,Belo Horizonte,MG,Varejo
V024408,2025-07-18,C001107,P000290,Marketplace,Débito,Entregue,3,8.76,0.078,26.28,24.23,17.94,6.29,Jaboatão dos Guararapes,PE,Corporate
V044889,2024-03-17,C000187,P000325,Marketplace,Débito,Entregue,3,12.22,0.271,36.66,26.73,27.72,-0.99,Caucaia,CE,Varejo
V006425,2025-04-24,C001164,P001121,Marketplace,Crédito,Entregue,4,12.06,0.223,48.24,37.48,37.8,-0.32,Ponta Grossa,PR,Atacado
V046203,2024-07-30,C001023,P000312,Online,Crédito,Entregue,1,16.51,0.082,16.51,15.16,10.95,4.21,Recife,PE,Premium
V042285,2024-01-24,C001427,P000666,Online,Débito,Entregue,4,14.22,0.084,56.88,52.1,33.84,18.26,Chapecó,SC,Varejo
V045699,2024-04-12,C001406,P000846,Online,Boleto,Entregue,5,16.81,0.052,84.05,79.68,58.95,20.73,Feira de Santana,BA,Varejo
V041461,2025-03-24,C001347,P001014,Online,Crédito,Entregue,3,31.96,0.23,95.88,73.83,67.8,6.03,Feira de Santana,BA,Premium
V028418,2024-09-05,C000855,P000413,Loja Física,Crédito,Entregue,4,14.79,0.132,59.16,51.35,36.44,14.91,Porto Alegre,RS,Corporate
V018151,2024-11-09,C001179,P000751,Loja Física,Crédito,Entregue,4,18.28,0.258,73.12,54.26,47.36,6.9,Santa Maria,RS,Varejo
V030624,2024-08-05,C000597,P001068,Loja Física,Pix,Entregue,4,31.63,0.157,126.52,106.66,82.0,24.66,Joinville,SC,Varejo
V003151,2024-12-28,C001155,P000370,Online,Crédito,Entregue,1,14.22,0.085,14.22,13.01,10.55,2.46,Camaçari,BA,Corporate
V018185,2024-06-30,C000044,P000725,Online,Débito,Entregue,1,33.31,0.136,33.31,28.78,20.82,7.96,Recife,PE,Atacado
V026731,2024-05-13,C000469,P000728,Online,Crédito,Entregue,2,11.76,0.096,23.52,21.26,17.28,3.98,Ceilândia,DF,Premium
V012515,2025-05-16,C000080,P000247,Online,Débito,Entregue,3,18.46,0.178,55.38,45.52,43.71,1.81,Contagem,MG,Varejo
V036056,2025-03-17,C000749,P000715,Online,Crédito,Entregue,3,6.76,0.069,20.28,18.88,14.7,4.18,Juiz de Fora,MG,Varejo
V040833,2024-10-28,C000393,P001140,Marketplace,Pix,Entregue,1,10.01,0.268,10.01,7.33,6.28,1.05,Campinas,SP,Corporate
V034374,2024-08-15,C000054,P000029,Loja Física,Crédito,Entregue,1,15.08,0.112,15.08,13.39,8.21,5.18,Ribeirão Preto,SP,Atacado
V045453,2024-12-11,C000869,P000877,Loja Física,Crédito,Entregue,1,23.04,0.191,23.04,18.64,17.18,1.46,Niterói,RJ,Varejo
V034308,2024-11-04,C000793,P000533,Online,Crédito,Entregue,2,6.22,0.13,12.44,10.82,7.36,3.46,Vitória da Conquista,BA,Varejo
V046162,2025-04-01,C001044,P000915,Televendas,Crédito,Entregue,5,9.59,0.129,47.95,41.76,38.75,3.01,Maracanaú,CE,Varejo
V037976,2025-03-16,C001367,P000989,Loja Física,Crédito,Entregue,2,9.06,0.057,18.12,17.09,10.72,6.37,Niterói,RJ,Varejo
V021233,2025-07-22,C001194,P000093,Marketplace,Pix,Entregue,3,14.1,0.126,42.3,36.97,28.53,8.44,Pelotas,RS,Varejo
V020327,2025-06-30,C000158,P000141,Loja Física,Boleto,Entregue,3,14.3,0.226,42.9,33.2,25.65,7.55,Olinda,PE,Varejo
V027005,2024-06-24,C000293,P000155,Online,Crédito,Entregue,5,7.67,0.087,38.35,35.01,27.6,7.41,Brasília,DF,Atacado
V045594,2024-07-19,C000166,P001177,Loja Física,Crédito,Entregue,5,14.69,0.285,73.45,52.52,53.4,-0.88,Belo Horizonte,MG,Varejo
V025848,2025-01-30,C000495,P000682,Marketplace,Pix,Entregue,6,13.04,0.107,78.24,69.87,52.2,17.67,Olinda,PE,Varejo
V007440,2025-03-08,C000625,P000015,Loja Física,Boleto,Cancelado,6,14.85,0.019,89.1,87.41,67.62,19.79,Ribeirão Preto,SP,Varejo
V037341,2024-01-13,C000732,P000107,Online,Débito,Entregue,2,7.85,0.124,15.7,13.75,9.24,4.51,Ponta Grossa,PR,Premium
V010027,2024-05-17,C001099,P000262,Loja Física,Débito,Entregue,1,21.32,0.205,21.32,16.95,11.67,5.28,Recife,PE,Varejo
V020966,2025-04-13,C001422,P000682,Online,Crédito,Entregue,6,12.92,0.025,77.52,75.58,52.2,23.38,Olinda,PE,Varejo
V007285,2024-10-15,C000922,P001171,Online,Crédito,Entregue,5,10.1,0.252,50.5,37.77,29.25,8.52,Belo Horizonte,MG,Varejo
V030275,2024-01-30,C000793,P000298,Marketplace,Pix,Entregue,6,20.28,0.269,121.68,88.95,74.94,14.01,Vitória da Conquista,BA,Varejo
V049968,2025-06-29,C001335,P000518,Loja Física,Débito,Entregue,4,17.71,0.048,70.84,67.44,45.48,21.96,Sorocaba,SP,Atacado
V031159,2025-07-07,C000253,P000939,Marketplace,Pix,Entregue,3,10.61,0.13,31.83,27.69,24.84,2.85,Uberlândia,MG,Varejo
V015618,2024-09-03,C001213,P000652,Televendas,Crédito,Entregue,4,14.57,0.325,58.28,39.34,33.4,5.94,Belo Horizonte,MG,Premium
V009619,2025-04-17,C000809,P001031,Marketplace,Pix,Cancelado,4,25.99,0.102,103.96,93.36,76.36,17.0,Curitiba,PR,Varejo
V028873,2024-02-15,C000079,P000278,Televendas,Pix,Entregue,4,14.27,0.04,57.08,54.8,39.0,15.8,Florianópolis,SC,Varejo
V037268,2024-04-16,C000582,P000829,Loja Física,Pix,Entregue,2,32.13,0.098,64.26,57.96,37.52,20.44,Pelotas,RS,Varejo
V018811,2024-03-08,C000824,P000055,Online,Pix,Entregue,5,8.28,0.059,41.4,38.96,32.2,6.76,Feira de Santana,BA,Atacado
V032954,2024-10-11,C000507,P000127,Online,Crédito,Entregue,4,18.7,0.189,74.8,60.66,46.28,14.38,Maracanaú,CE,Premium
V029894,2024-10-17,C000327,P000787,Online,Crédito,Entregue,3,14.18,0.35,42.54,27.65,30.87,-3.22,Sorocaba,SP,Varejo
V032505,2024-08-10,C001185,P000773,Online,Boleto,Entregue,2,5.28,0.086,10.56,9.65,6.94,2.71,Gama,DF,Premium
V027732,2024-04-22,C001455,P000680,Loja Física,Pix,Entregue,1,7.8,0.167,7.8,6.5,5.86,0.64,Santos,SP,Varejo
V031314,2024-01-26,C000535,P000567,Marketplace,Boleto,Entregue,2,7.34,0.163,14.68,12.29,10.88,1.41,Belo Horizonte,MG,Varejo
V031845,2024-01-10,C001352,P000088,Marketplace,Pix,Entregue,2,28.06,0.348,56.12,36.59,35.82,0.77,Camaçari,BA,Varejo
V004274,2024-07-28,C000632,P000102,Online,Pix,Entregue,3,11.14,0.057,33.42,31.52,25.05,6.47,Juiz de Fora,MG,Atacado
V047404,2024-06-04,C000935,P000659,Marketplace,Crédito,Entregue,3,11.3,0.073,33.9,31.43,23.94,7.49,São Paulo,SP,Varejo
V023362,2025-03-24,C001164,P001138,Televendas,Crédito,Entregue,4,14.62,0.095,58.48,52.92,38.0,14.92,Ponta Grossa,PR,Atacado
V002323,2024-09-26,C000364,P001049,Televendas,Pix,Entregue,1,27.33,0.106,27.33,24.43,15.59,8.84,Contagem,MG,Varejo
V014973,2024-01-01,C000899,P000436,Online,Débito,Entregue,5,22.87,0.084,114.35,104.74,82.4,22.34,Caruaru,PE,Varejo
V016452,2024-12-14,C000127,P000403,Online,Pix,Entregue,4,13.59,0.118,54.36,47.95,31.64,16.31,Recife,PE,Varejo
V014546,2024-04-29,C001479,P000643,Online,Pix,Entregue,4,22.77,0.201,91.08,72.77,56.44,16.33,Florianópolis,SC,Atacado
V019314,2024-08-30,C000558,P000383,Loja Física,Crédito,Entregue,1,10.73,0.331,10.73,7.18,6.17,1.01,Salvador,BA,Atacado
V023671,2024-04-18,C001343,P000112,Online,Crédito,Entregue,5,31.56,0.264,157.8,116.14,122.45,-6.31,Contagem,MG,Varejo
V037050,2025-07-22,C000380,P000850,Loja Física,Crédito,Entregue,4,19.11,0.069,76.44,71.17,56.56,14.61,Caxias do Sul,RS,Premium
V045913,2024-12-11,C001275,P001046,Online,Crédito,Entregue,6,10.83,0.117,64.98,57.38,38.34,19.04,Maracanaú,CE,Varejo
V026320,2025-04-03,C000328,P001119,Marketplace,Crédito,Entregue,8,17.03,0.193,136.24,109.95,81.84,28.11,Juazeiro do Norte,CE,Varejo
V033922,2024-02-14,C000124,P000731,Online,Pix,Entregue,3,29.1,0.1,87.3,78.57,52.32,26.25,Sorocaba,SP,Varejo
V006323,2025-04-03,C000265,P001049,Online,Crédito,Entregue,2,26.68,0.29,53.36,37.89,31.18,6.71,Uberlândia,MG,Varejo
V000466,2024-07-09,C001094,P000344,Loja Física,Crédito,Entregue,4,19.16,0.261,76.64,56.64,53.12,3.52,Volta Redonda,RJ,Varejo
V003254,2025-03-12,C000925,P001018,Loja Física,Crédito,Entregue,3,18.82,0.055,56.46,53.35,34.14,19.21,Campos dos Goytacazes,RJ,Atacado
V010987,2024-06-16,C000655,P000114,Online,Débito,Entregue,4,4.26,0.142,17.04,14.62,10.28,4.34,Sorocaba,SP,Atacado
V014751,2025-01-30,C000498,P001080,Online,Crédito,Entregue,2,8.77,0.08,17.54,16.14,13.06,3.08,Porto Alegre,RS,Corporate
V014785,2025-07-25,C000789,P000616,Loja Física,Boleto,Entregue,3,12.31,0.102,36.93,33.16,22.35,10.81,Volta Redonda,RJ,Varejo
V000565,2024-06-08,C000635,P001006,Online,Débito,Entregue,2,16.59,0.094,33.18,30.06,19.9,10.16,Chapecó,SC,Varejo
V043127,2024-01-25,C001495,P000846,Marketplace,Pix,Devolvido,3,16.23,0.013,48.69,48.06,35.37,12.69,Taguatinga,DF,Atacado
V012725,2024-09-03,C000863,P000328,Loja Física,Pix,Entregue,3,11.38,0.19,34.14,27.65,22.65,5.0,Maringá,PR,Varejo
V033808,2025-02-06,C000540,P000661,Online,Crédito,Entregue,2,34.98,0.125,69.96,61.22,51.82,9.4,Sorocaba,SP,Varejo
V007299,2024-01-30,C000263,P000414,Online,Débito,Entregue,2,34.33,0.135,68.66,59.39,39.08,20.31,Jaboatão dos Guararapes,PE,Varejo
V025389,2024-05-02,C000505,P000504,Loja Física,Pix,Cancelado,7,5.86,0.201,41.02,32.77,31.36,1.41,Santos,SP,Premium
V019686,2024-07-18,C000783,P000220,Online,Pix,Entregue,4,15.95,0.35,63.8,41.47,39.24,2.23,Juazeiro do Norte,CE,Varejo
V034489,2024-03-29,C001373,P001084,Online,Crédito,Cancelado,1,13.16,0.208,13.16,10.42,8.83,1.59,Blumenau,SC,Atacado
V037828,2025-03-08,C000050,P000107,Online,Crédito,Entregue,4,7.68,0.07,30.72,28.57,18.48,10.09,Juiz de Fora,MG,Varejo
V003594,2024-10-12,C000246,P001187,Loja Física,Pix,Entregue,2,6.65,0.17,13.3,11.04,7.96,3.08,Belo Horizonte,MG,Varejo
V012401,2025-05-28,C000104,P000390,Online,Crédito,Entregue,1,15.34,0.227,15.34,11.86,9.2,2.66,Niterói,RJ,Premium
V029940,2024-08-30,C001488,P000016,Marketplace,Crédito,Entregue,1,12.41,0.323,12.41,8.4,7.03,1.37,Caruaru,PE,Varejo
V024855,2025-03-02,C000979,P000573,Loja Física,Pix,Entregue,1,9.17,0.233,9.17,7.03,6.12,0.91,Santa Maria,RS,Varejo
V021776,2024-12-18,C000090,P000607,Loja Física,Crédito,Entregue,3,10.97,0.184,32.91,26.85,19.02,7.83,Chapecó,SC,Atacado
V038919,2025-05-21,C000250,P000611,Marketplace,Pix,Entregue,2,6.24,0.119,12.48,10.99,8.32,2.67,Gama,DF,Varejo
V007526,2024-03-31,C001423,P000459,Loja Física,Crédito,Entregue,4,13.9,0.174,55.6,45.93,30.0,15.93,Maracanaú,CE,Varejo
V008902,2024-07-09,C000426,P000584,Loja Física,Pix,Entregue,5,18.97,0.35,94.85,61.65,57.6,4.05,Juazeiro do Norte,CE,Varejo
V024779,2024-06-10,C000008,P000400,Loja Física,Débito,Entregue,2,12.46,0.123,24.92,21.85,15.12,6.73,Belo Horizonte,MG,Varejo
V040304,2024-08-29,C001370,P001091,Online,Pix,Entregue,1,37.54,0.076,37.54,34.69,25.92,8.77,Maracanaú,CE,Varejo
V039666,2024-08-29,C001047,P000320,Loja Física,Débito,Entregue,1,29.87,0.141,29.87,25.66,21.68,3.98,Juiz de Fora,MG,Premium
V031513,2025-05-22,C001186,P001177,Marketplace,Crédito,Entregue,2,14.51,0.208,29.02,22.98,21.36,1.62,Recife,PE,Atacado
V026723,2024-08-08,C001403,P000321,Loja Física,Crédito,Entregue,3,22.38,0.11,67.14,59.75,44.52,15.23,Feira de Santana,BA,Atacado
V011905,2024-04-21,C001298,P000795,Marketplace,Pix,Entregue,4,17.32,0.179,69.28,56.88,40.2,16.68,Caucaia,CE,Varejo
V032150,2024-03-22,C001092,P000934,Marketplace,Crédito,Entregue,3,11.38,0.136,34.14,29.5,25.86,3.64,Feira de Santana,BA,Premium
V048832,2024-12-05,C000811,P000506,Online,Pix,Entregue,3,10.87,0.199,32.61,26.12,19.23,6.89,Sorocaba,SP,Varejo
V021258,2025-04-14,C000467,P001137,Loja Física,Crédito,Entregue,2,22.96,0.003,45.92,45.78,25.16,20.62,Camaçari,BA,Varejo
V043773,2025-05-28,C001308,P001029,Marketplace,Pix,Entregue,2,39.47,0.061,78.94,74.12,59.6,14.52,Caucaia,CE,Varejo
V042847,2024-02-27,C001194,P000936,Online,Pix,Entregue,2,6.93,0.113,13.86,12.29,10.48,1.81,Pelotas,RS,Varejo
V032749,2025-02-17,C000130,P000410,Online,Crédito,Entregue,2,9.5,0.227,19.0,14.69,12.32,2.37,Sorocaba,SP,Corporate
V034536,2025-08-05,C000847,P000768,Loja Física,Pix,Entregue,7,14.14,0.128,98.98,86.31,73.29,13.02,São Paulo,SP,Varejo
V031921,2025-01-14,C001445,P000076,Marketplace,Boleto,Entregue,5,7.34,0.138,36.7,31.64,22.45,9.19,Jaboatão dos Guararapes,PE,Varejo
V034537,2024-01-08,C001110,P001145,Online,Crédito,Entregue,3,10.79,0.033,32.37,31.3,19.74,11.56,Caucaia,CE,Premium
V009074,2024-10-31,C000955,P000317,Marketplace,Crédito,Entregue,4,9.84,0.064,39.36,36.84,23.92,12.92,Ribeirão Preto,SP,Varejo
V002339,2025-05-11,C000245,P000003,Televendas,Débito,Entregue,4,11.18,0.117,44.72,39.49,23.88,15.61,Niterói,RJ,Varejo
V017027,2024-01-24,C000905,P000797,Televendas,Crédito,Entregue,2,18.89,0.126,37.78,33.02,29.26,3.76,São Paulo,SP,Varejo
V020215,2025-01-17,C000677,P000217,Online,Débito,Entregue,6,13.34,0.13,80.04,69.63,45.9,23.73,Uberlândia,MG,Atacado
V010993,2024-12-02,C001483,P000807,Loja Física,Pix,Entregue,2,21.85,0.109,43.7,38.94,26.2,12.74,Feira de Santana,BA,Varejo
V016340,2025-06-17,C001287,P000319,Online,Pix,Entregue,3,20.5,0.034,61.5,59.41,42.66,16.75,Rio de Janeiro,RJ,Varejo
V049127,2024-06-20,C001477,P000758,Online,Pix,Devolvido,3,7.82,0.137,23.46,20.25,17.13,3.12,Brasília,DF,Varejo
V042628,2025-03-01,C000356,P000125,Online,Crédito,Entregue,5,30.99,0.233,154.95,118.85,87.25,31.6,Volta Redonda,RJ,Varejo
V043377,2024-08-03,C001236,P000883,Loja Física,Pix,Entregue,1,30.93,0.179,30.93,25.39,19.44,5.95,Taguatinga,DF,Premium
V007271,2024-10-22,C000047,P000537,Online,Pix,Entregue,3,12.84,0.183,38.52,31.47,30.33,1.14,Rio de Janeiro,RJ,Varejo
V026458,2025-01-21,C000324,P000849,Loja Física,Crédito,Entregue,2,42.02,0.229,84.04,64.79,47.12,17.67,Santos,SP,Premium
V016282,2024-12-26,C001423,P001011,Online,Débito,Devolvido,1,9.51,0.103,9.51,8.53,5.23,3.3,Maracanaú,CE,Varejo
V008727,2025-03-12,C001383,P000526,Loja Física,Boleto,Cancelado,1,17.72,0.155,17.72,14.97,11.86,3.11,Rio de Janeiro,RJ,Atacado
V024193,2024-02-29,C000418,P000897,Loja Física,Pix,Entregue,3,9.49,0.014,28.47,28.07,15.99,12.08,Santos,SP,Varejo
V029728,2024-11-22,C001048,P000750,Loja Física,Pix,Entregue,2,10.64,0.043,21.28,20.36,13.74,6.62,Ponta Grossa,PR,Varejo
V001567,2024-10-23,C001291,P000990,Loja Física,Crédito,Cancelado,5,9.15,0.007,45.75,45.43,29.55,15.88,São Paulo,SP,Corporate
V043977,2025-04-14,C000411,P000259,Loja Física,Pix,Cancelado,5,13.02,0.112,65.1,57.81,48.8,9.01,Ribeirão Preto,SP,Varejo
V011754,2025-08-03,C001187,P000517,Marketplace,Crédito,Entregue,3,14.2,0.046,42.6,40.64,27.03,13.61,Chapecó,SC,Premium
V037023,2025-01-29,C000724,P000971,Loja Física,Crédito,Entregue,2,22.24,0.167,44.48,37.05,25.94,11.11,Pelotas,RS,Premium
V034921,2024-01-03,C000467,P000257,Loja Física,Pix,Entregue,3,20.88,0.072,62.64,58.13,43.89,14.24,Camaçari,BA,Varejo
V013366,2025-04-04,C000357,P000568,Online,Crédito,Entregue,2,6.65,0.162,13.3,11.15,7.9,3.25,Salvador,BA,Varejo
V037399,2024-04-23,C000933,P001105,Marketplace,Crédito,Entregue,2,5.54,0.104,11.08,9.93,8.8,1.13,São Paulo,SP,Varejo
V036169,2025-04-28,C000642,P000772,Online,Crédito,Cancelado,5,18.58,0.152,92.9,78.78,54.85,23.93,Rio de Janeiro,RJ,Varejo
V012426,2024-10-13,C000671,P000575,Online,Crédito,Entregue,3,5.01,0.086,15.03,13.74,9.45,4.29,Fortaleza,CE,Premium
V000645,2024-11-24,C001235,P000690,Online,Pix,Entregue,2,23.42,0.35,46.84,30.45,26.34,4.11,Feira de Santana,BA,Premium
V001040,2024-05-26,C001491,P001029,Loja Física,Pix,Entregue,2,38.67,0.186,77.34,62.95,59.6,3.35,Campinas,SP,Corporate
V028077,2025-04-10,C000134,P000302,Loja Física,Crédito,Entregue,3,13.29,0.144,39.87,34.13,31.77,2.36,Gama,DF,Varejo
V011215,2024-04-25,C000810,P001111,Marketplace,Débito,Entregue,1,15.24,0.075,15.24,14.1,9.5,4.6,Chapecó,SC,Varejo
V000333,2024-08-05,C000254,P000428,Online,Crédito,Entregue,3,4.62,0.155,13.86,11.71,10.98,0.73,Belo Horizonte,MG,Varejo
V006484,2024-10-17,C001327,P000237,Online,Pix,Entregue,3,12.33,0.079,36.99,34.07,21.18,12.89,Feira de Santana,BA,Varejo
V045639,2025-03-22,C000493,P000189,Televendas,Crédito,Entregue,1,17.24,0.229,17.24,13.29,10.9,2.39,Belo Horizonte,MG,Atacado
V032733,2024-11-18,C000889,P000024,Online,Débito,Entregue,6,12.08,0.027,72.48,70.52,44.1,26.42,Campos dos Goytacazes,RJ,Atacado
V008179,2024-08-06,C000050,P000024,Online,Pix,Entregue,2,11.24,0.161,22.48,18.86,14.7,4.16,Juiz de Fora,MG,Varejo
V016759,2024-07-28,C000578,P000952,Loja Física,Pix,Entregue,1,34.32,0.107,34.32,30.65,20.21,10.44,Salvador,BA,Varejo
V047722,2025-01-06,C001410,P001059,Online,Débito,Entregue,2,11.36,0.167,22.72,18.93,14.12,4.81,Recife,PE,Varejo
V033288,2025-01-29,C001397,P001113,Marketplace,Crédito,Devolvido,2,22.13,0.167,44.26,36.87,28.86,8.01,Santa Maria,RS,Premium
V045683,2025-07-30,C000204,P000688,Online,Crédito,Entregue,3,9.96,0.235,29.88,22.86,22.17,0.69,Ribeirão Preto,SP,Varejo
V047934,2024-03-17,C001192,P000790,Marketplace,Crédito,Entregue,2,15.91,0.244,31.82,24.06,19.3,4.76,Curitiba,PR,Varejo
V035573,2024-02-03,C000411,P000115,Loja Física,Pix,Entregue,6,11.72,0.179,70.32,57.73,44.22,13.51,Ribeirão Preto,SP,Varejo
V028810,2025-08-05,C000900,P000979,Online,Pix,Entregue,4,17.03,0.107,68.12,60.83,40.0,20.83,Pelotas,RS,Corporate
V020362,2024-07-10,C000614,P000698,Online,Débito,Entregue,3,14.51,0.22,43.53,33.95,33.69,0.26,Juiz de Fora,MG,Varejo
V004450,2024-10-01,C001191,P000329,Loja Física,Pix,Entregue,3,8.73,0.066,26.19,24.46,15.18,9.28,Pelotas,RS,Varejo
V047535,2024-01-09,C001213,P000988,Loja Física,Crédito,Entregue,3,4.95,0.253,14.85,11.09,9.21,1.88,Belo Horizonte,MG,Premium
V018204,2025-01-17,C000514,P001166,Online,Pix,Entregue,2,15.6,0.239,31.2,23.74,23.36,0.38,Juiz de Fora,MG,Varejo
V018727,2024-01-03,C001335,P000832,Marketplace,Crédito,Entregue,4,7.49,0.202,29.96,23.91,24.4,-0.49,Sorocaba,SP,Atacado
V028132,2024-06-06,C000647,P000689,Online,Pix,Entregue,3,25.08,0.036,75.24,72.53,45.0,27.53,Belo Horizonte,MG,Varejo
V012916,2024-05-20,C000025,P000299,Loja Física,Crédito,Entregue,1,7.66,0.187,7.66,6.23,4.82,1.41,Contagem,MG,Varejo
V046304,2025-05-13,C000080,P000251,Loja Física,Crédito,Entregue,1,20.69,0.026,20.69,20.15,15.39,4.76,Contagem,MG,Varejo
V039062,2024-12-03,C000949,P000287,Loja Física,Crédito,Entregue,2,4.7,0.035,9.4,9.07,5.32,3.75,Camaçari,BA,Varejo
V015510,2024-02-07,C000429,P000886,Loja Física,Débito,Entregue,2,10.0,0.073,20.0,18.54,12.8,5.74,Londrina,PR,Premium
V016422,2025-04-21,C001456,P000756,Online,Débito,Entregue,3,12.19,0.281,36.57,26.29,21.03,5.26,Ceilândia,DF,Premium
V002575,2025-03-02,C001108,P000307,Televendas,Pix,Entregue,2,8.87,0.25,17.74,13.3,11.22,2.08,Curitiba,PR,Corporate
